id,name,country,coord,geopolitical_zone,state
2317548,Zuru,NG,"{'lon': 5.22879, 'lat': 11.42406}",North West,Kebbi
2317569,Zungeru,NG,"{'lon': 6.15583, 'lat': 9.81278}",North Central,Niger
2317765,Zaria,NG,"{'lon': 7.7227, 'lat': 11.11128}",North West,Kaduna
2317818,Zango,NG,"{'lon': 8.48765, 'lat': 13.05151}",North West,Jigawa
2317887,Zalanga,NG,"{'lon': 10.17647, 'lat': 10.61432}",North East,Gombe
2317899,Zaki Biam,NG,"{'lon': 9.61667, 'lat': 7.51667}",North Central,Benue
2317936,Zadawa,NG,"{'lon': 10.3672, 'lat': 11.4496}",North West,Jigawa
2317982,Yuli,NG,"{'lon': 10.27444, 'lat': 9.69889}",,
2318044,Yola,NG,"{'lon': 12.48333, 'lat': 9.2}",North East,Adamawa
2318123,Yenagoa,NG,"{'lon': 6.26417, 'lat': 4.92472}",South South,Bayelsa
2318166,Yelwa,NG,"{'lon': 9.63333, 'lat': 8.83333}",North West,Kebbi
2318238,Yashikira,NG,"{'lon': 3.4, 'lat': 9.76667}",North Central,Kwara
2318374,Yandev,NG,"{'lon': 9.05, 'lat': 7.36667}",North Central,Benue
2318383,Yanda Bayo,NG,"{'lon': 10.7459, 'lat': 11.5071}",,
2318399,Yamrat,NG,"{'lon': 9.82604, 'lat': 10.11161}",,
2318480,Yajiwa,NG,"{'lon': 12.7236, 'lat': 11.38385}",North East,Borno
2318534,Wuyo,NG,"{'lon': 11.69678, 'lat': 10.38522}",North East,Borno
2318560,Wusasa,NG,"{'lon': 7.67925, 'lat': 11.07543}",North West,Kaduna
2318858,Wurno,NG,"{'lon': 5.42326, 'lat': 13.28777}",North West,Sokoto
2318921,Wukari,NG,"{'lon': 9.78333, 'lat': 7.85}",North East,Taraba
2318933,Wudil,NG,"{'lon': 8.84505, 'lat': 11.81067}",North West,Kano
2319078,Wawa,NG,"{'lon': 4.41917, 'lat': 9.90222}",North Central,Niger
2319080,Wauro Jabbe,NG,"{'lon': 12.41667, 'lat': 9.26667}",North East,Adamawa
2319123,Wasagu,NG,"{'lon': 5.79536, 'lat': 11.3764}",North West,Kebbi
2319133,Warri,NG,"{'lon': 5.75, 'lat': 5.51667}",South South,Delta
2319257,Wamba,NG,"{'lon': 8.6, 'lat': 8.93333}",North Central,Nasarawa
2319268,Walmayo,NG,"{'lon': 8.5441, 'lat': 7.7315}",,
2319345,Wagini,NG,"{'lon': 7.19579, 'lat': 12.68781}",North West,Katsina
2319407,Vom,NG,"{'lon': 8.78333, 'lat': 9.73333}",North Central,Plateau
2319480,Uyo,NG,"{'lon': 7.92657, 'lat': 5.03333}",South South,Akwa Ibom
2319642,Uruobo-Okija,NG,"{'lon': 6.84312, 'lat': 5.90016}",South East,Anambra
2319668,Uromi,NG,"{'lon': 6.33333, 'lat': 6.7}",South South,Edo
2320417,Umunede,NG,"{'lon': 6.31161, 'lat': 6.26374}",South South,Delta
2320576,Umuahia,NG,"{'lon': 7.48959, 'lat': 5.52627}",South East,Abia
2320746,Ukata,NG,"{'lon': 5.82494, 'lat': 10.83122}",North Central,Niger
2320829,Ughelli,NG,"{'lon': 6.00743, 'lat': 5.48986}",South South,Delta
2320831,Ugep,NG,"{'lon': 8.0812, 'lat': 5.8086}",South South,Cross River
2320909,Uga Soja,NG,"{'lon': 8.6137, 'lat': 7.7124}",,
2320920,Uga,NG,"{'lon': 7.0793, 'lat': 5.93576}",South East,Anambra
2320966,Udi,NG,"{'lon': 7.4258, 'lat': 6.3144}",South East,Enugu
2321031,Ubiaja,NG,"{'lon': 6.38687, 'lat': 6.65504}",South South,Edo
2321057,Uba,NG,"{'lon': 13.22139, 'lat': 10.45306}",North East,Adamawa
2321429,Tungan Ali,NG,"{'lon': 7.22194, 'lat': 9.00556}",,
2321926,Toungo,NG,"{'lon': 12.05, 'lat': 8.11667}",North East,Adamawa
2322021,Tokombere,NG,"{'lon': 13.48581, 'lat': 11.22713}",North East,Borno
2322263,Tegina,NG,"{'lon': 6.1906, 'lat': 10.0706}",North Central,Niger
2322495,Tambuwal,NG,"{'lon': 4.64692, 'lat': 12.40386}",North West,Sokoto
2322529,Talata Mafara,NG,"{'lon': 6.05971, 'lat': 12.57317}",North West,Zamfara
2322552,Takum,NG,"{'lon': 9.98333, 'lat': 7.26667}",North East,Taraba
2322592,Takai,NG,"{'lon': 9.11667, 'lat': 11.58333}",North West,Kano
2322722,Suya,NG,"{'lon': 3.18333, 'lat': 9.46667}",,
2322794,Suleja,NG,"{'lon': 7.18083, 'lat': 9.17583}",North Central,Niger
2322907,Sokoto State,NG,"{'lon': 5.25, 'lat': 13.08333}",North West,Sokoto
2322911,Sokoto,NG,"{'lon': 5.23902, 'lat': 13.06092}",North West,Sokoto
2322957,Soba,NG,"{'lon': 8.05749, 'lat': 10.98134}",North West,Kaduna
2323011,Siluko,NG,"{'lon': 5.1609, 'lat': 6.53858}",South South,Edo
2323146,Shinkafi,NG,"{'lon': 6.51046, 'lat': 13.07534}",North West,Zamfara
2323344,Shani,NG,"{'lon': 12.06198, 'lat': 10.21617}",North East,Borno
2323349,Shanga,NG,"{'lon': 4.57878, 'lat': 11.21062}",North West,Kebbi
2323390,Saki,NG,"{'lon': 3.38333, 'lat': 8.66667}",South West,Oyo
2323411,Shagamu,NG,"{'lon': 3.64776, 'lat': 6.84323}",South West,Ogun
2323418,Shaffa,NG,"{'lon': 12.33315, 'lat': 10.50673}",North East,Borno
2323579,Sauri,NG,"{'lon': 6.78374, 'lat': 11.72655}",North East,Bauchi
2323675,Sapele,NG,"{'lon': 5.67666, 'lat': 5.89405}",South South,Delta
2323858,Samamiya,NG,"{'lon': 9.63989, 'lat': 11.34873}",,
2324024,Sade,NG,"{'lon': 10.6732, 'lat': 11.3595}",North East,Bauchi
2324281,Runka,NG,"{'lon': 7.30918, 'lat': 12.44788}",North West,Katsina
2324325,Ruma,NG,"{'lon': 7.23469, 'lat': 12.8626}",North West,Katsina
2324433,Rivers State,NG,"{'lon': 6.82766, 'lat': 4.74974}",South South,Rivers
2324439,Riti,NG,"{'lon': 9.61667, 'lat': 7.91667}",North East,Taraba
2324460,Ringim,NG,"{'lon': 9.16192, 'lat': 12.15482}",North West,Jigawa
2324504,Rijau,NG,"{'lon': 5.25068, 'lat': 11.10298}",North Central,Niger
2324575,Rano,NG,"{'lon': 8.57464, 'lat': 11.54912}",North West,Kano
2324623,Saminaka,NG,"{'lon': 8.68279, 'lat': 10.41403}",North West,Kaduna
2324706,Rabah,NG,"{'lon': 5.50741, 'lat': 13.12133}",North West,Sokoto
2324767,Potiskum,NG,"{'lon': 11.0694, 'lat': 11.7091}",North East,Yobe
2324774,Port Harcourt,NG,"{'lon': 7.0134, 'lat': 4.77742}",South South,Rivers
