city_name,temperature,humidity,pressure,wind_speed,weather_main,weather_desc,reading_timestamp,city
Zuru,33.18,32,1010,1.97,Clouds,scattered clouds,2025-10-17 11:33:17+00:00,Zuru
Zungeru,31.59,56,1010,1.49,Clouds,overcast clouds,2025-10-17 11:33:18+00:00,Zungeru
Zaria,32.4,27,1010,3.86,Clouds,scattered clouds,2025-10-17 11:33:19+00:00,Zaria
Zango,35.55,14,1010,6.05,Clouds,broken clouds,2025-10-17 11:33:19+00:00,Zango
Zalanga,33.6,27,1010,4.06,Clouds,scattered clouds,2025-10-17 11:33:20+00:00,Zalanga
Zaki Biam,31.73,49,1009,1.75,Clouds,broken clouds,2025-10-17 11:33:21+00:00,Zaki Biam
Zadawa,35.05,22,1009,4.21,Clouds,scattered clouds,2025-10-17 11:33:22+00:00,Zadawa
Yuli,34.67,32,1009,2.72,Clouds,broken clouds,2025-10-17 11:33:23+00:00,Yuli
Yola,32.56,48,1010,2.06,Clouds,overcast clouds,2025-10-17 11:33:23+00:00,Yola
Yenagoa,29.49,66,1010,1.11,Clouds,broken clouds,2025-10-17 11:33:24+00:00,Yenagoa
Yelwa,33.03,43,1009,2.07,Clouds,broken clouds,2025-10-17 11:33:24+00:00,Yelwa
Yashikira,31.19,50,1010,2.15,Clouds,broken clouds,2025-10-17 11:33:25+00:00,Yashikira
Yandev,31.32,52,1010,1.68,Clouds,broken clouds,2025-10-17 11:33:25+00:00,Yandev
Yanda Bayo,35.24,19,1009,3.93,Clouds,scattered clouds,2025-10-17 11:33:26+00:00,Yanda Bayo
Yamrat,34.34,26,1009,4.63,Clouds,scattered clouds,2025-10-17 11:33:26+00:00,Yamrat
Yajiwa,34.66,21,1010,3.83,Clouds,overcast clouds,2025-10-17 11:33:26+00:00,Yajiwa
Wuyo,33.74,35,1009,1.43,Clouds,broken clouds,2025-10-17 11:33:27+00:00,Wuyo
Wusasa,32.22,28,1010,3.75,Clouds,scattered clouds,2025-10-17 11:33:27+00:00,Wusasa
Wurno,35.6,18,1010,2.79,Clear,clear sky,2025-10-17 11:33:28+00:00,Wurno
Wukari,32.15,48,1009,1.42,Clouds,broken clouds,2025-10-17 11:33:29+00:00,Wukari
Wudil,36.11,18,1009,4.93,Clouds,scattered clouds,2025-10-17 11:33:29+00:00,Wudil
